Init Random
[44 138 40]
[92 144 65]
[87 61 116]
[68 21 55]
[120 119 147]
[1 80 99]
[123 92 70]
[105 104 135]
[89 143 133]
[20 101 126]
[134 130 49]
[53 34 122]
[55 76 108]
[44 140 63]
[72 17 65]
[146 21 69]
[71 130 146]
[46 87 141]
[20 80 103]
[139 117 66]
[43 86 74]
[139 104 51]
[14 148 68]
[2 118 100]
[40 29 126]
[65 78 13]
[41 87 40]
[117 113 140]
[128 138 116]
[84 66 97]
[127 116 106]
[147 130 84]
[80 58 53]
[148 16 145]
[112 143 58]
[106 15 67]
[71 67 47]
[93 76 139]
[91 66 116]
[37 72 108]
[46 115 99]
[117 75 112]
[78 77 100]
[14 116 83]
[28 122 75]
[29 144 68]
[144 81 66]
[30 108 99]
[98 134 71]
[144 95 101]
[32 60 116]
[144 24 114]
[40 133 138]
[10 63 144]
[86 106 11]
[53 54 113]
[126 134 74]
[100 24 146]
[11 140 69]
[37 79 114]
[149 0 38]
[98 127 13]
[15 121 74]
[26 115 147]
[86 104 76]
[68 31 98]
[60 113 130]
[9 5 129]
[94 19 119]
[31 130 81]
[132 21 83]
[98 103 82]
[53 65 124]
[43 86 129]
[39 143 130]
[132 36 112]
[97 111 118]
[32 80 132]
[37 68 71]
[61 42 118]
[38 123 135]
[114 126 129]
[83 74 142]
[69 55 144]
[43 54 75]
[34 136 4]
[100 36 111]
[111 29 142]
[127 108 109]
[41 134 103]
[27 121 29]
[4 125 79]
[30 40 146]
[12 113 138]
[147 133 78]
[57 138 113]
[64 57 118]
[21 59 110]
[122 115 103]
[109 59 66]
[87 147 77]
[30 56 61]
[37 111 51]
[130 78 112]
[149 124 118]
[111 82 57]
[57 80 117]
[80 136 31]
[128 93 55]
[57 135 59]
[50 119 148]
[50 22 130]
[71 116 43]
[45 88 139]
[96 132 83]
[79 130 138]
[122 41 90]
[83 144 69]
[93 80 61]
[18 136 67]
[3 72 120]
[92 52 147]
[7 67 120]
[72 146 89]
[37 141 119]
[70 2 78]
[21 99 51]
[46 61 107]
[50 128 144]
[20 111 108]
[83 125 59]
[28 40 120]
[73 144 83]
[54 106 131]
[47 132 77]
[97 124 80]
[61 133 83]
[0 80 119]
[67 135 132]
[127 133 123]
[30 146 121]
[18 90 56]
[92 146 148]
[3 135 74]
[10 75 72]
[63 142 14]
[149 40 144]
[132 86 133]
[3 130 133]
[85 102 88]
[3 102 79]
[26 14 48]
[133 136 81]
[10 4 138]
[95 113 52]
[145 45 60]
[77 105 78]
[35 125 59]
[14 102 106]
[56 109 112]
[129 88 70]
[68 137 61]
[21 43 54]
[9 118 62]
[59 125 69]
[1 93 108]
[21 118 69]
[46 90 93]
[10 15 67]
[77 87 135]
[120 110 87]
[57 138 68]
[117 107 37]
[121 123 8]
[17 57 103]
[6 84 51]
[52 120 104]
[25 109 82]
[51 61 59]
[80 73 76]
[7 52 128]
[71 108 90]
[114 94 125]
[67 70 95]
[80 74 105]
[132 143 103]
[29 135 75]
[94 69 126]
[73 104 83]
[104 143 61]
[94 122 63]
[25 78 125]
[146 40 93]
[86 140 77]
[27 118 104]
[80 82 125]
[67 132 40]
[44 55 145]
[30 124 80]
[2 96 125]
[86 100 111]
[4 34 110]
[39 139 64]
[43 77 79]
[127 107 118]
[64 103 121]
[115 137 105]
[98 141 55]
[107 103 68]
[29 35 143]
[124 42 82]
[62 98 138]
[18 43 85]
[2 92 56]
[24 8 127]
[107 140 98]
[15 107 73]
[95 85 130]
[54 105 52]
[109 137 7]
[2 50 76]
[131 91 68]
[57 8 70]
[54 100 62]
[11 43 128]
[74 132 102]
[34 51 141]
[125 87 108]
[90 127 136]
[120 124 81]
[146 86 61]
[38 61 75]
[101 121 114]
[107 83 76]
[43 93 115]
[23 68 100]
[75 63 0]
[143 62 57]
[23 143 72]
[20 124 86]
[36 40 138]
[74 141 95]
[86 109 117]
[11 147 90]
[53 86 128]
[141 101 134]
[25 101 133]
[55 109 58]
[58 89 118]
[17 32 54]
[25 140 81]
[98 127 106]
[118 135 74]
[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0] [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0] [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1]]
[[0.284071340706781 -1.0377137414144089 0.7406442024022387 0.8344151163896236] [1.3280732951354128 0.20461631886525022 1.1263545077434813 1.1690735855298475] [-0.49434043305243375 0.12046978608995813 -0.5101140848361152 -0.5414030345201859]]
exit status 9
FAIL	github.com/ikuo0/gotest1/kmeans	0.232s
